case,truth,truth_pattern,verdict,p0,p1,pattern,request
CC-5066,fraud,account_takeover,legitimate,0.13,0.04,none,True
CC-5433,fraud,account_takeover,legitimate,0.16,0.05,none,True
CC-3618,fraud,account_takeover,uncertain,0.44,0.44,out_of_region_use,True
CC-3969,fraud,out_of_region_use,legitimate,0.07,0.02,none,True
CC-4327,fraud,card_not_present_fraud,uncertain,0.48,0.48,card_not_present_new_device,True
CC-5005,fraud,card_not_present_new_device,legitimate,0.31,0.09,none,True
CC-3649,fraud,account_takeover,fraud,0.89,0.97,account_takeover,True
CC-3844,fraud,card_not_present_new_device,legitimate,0.32,0.1,none,True
CC-4647,fraud,out_of_region_use,legitimate,0.35,0.1,none,True
CC-3489,fraud,card_not_present_fraud,fraud,0.57,0.9,card_not_present_new_device,True
CC-4407,fraud,out_of_region_use,legitimate,0.22,0.07,none,True
CC-3879,fraud,card_not_present_fraud,uncertain,0.48,0.48,card_not_present_new_device,True
CC-4842,fraud,account_takeover,legitimate,0.18,0.05,none,True
CC-4396,fraud,card_not_present_fraud,fraud,0.93,0.93,card_not_present_new_device,False
CC-5028,fraud,out_of_region_use,uncertain,0.54,0.54,out_of_region_use,True
CC-3913,fraud,card_not_present_fraud,legitimate,0.27,0.08,none,True
CC-4891,fraud,card_not_present_new_device,legitimate,0.15,0.15,none,False
CC-5258,fraud,out_of_region_use,uncertain,0.4,0.4,out_of_region_use,True
CC-4677,fraud,card_not_present_fraud,uncertain,0.45,0.45,card_not_present_new_device,True
CC-4510,fraud,card_not_present_fraud,legitimate,0.32,0.1,none,True
CC-3566,fraud,card_not_present_fraud,legitimate,0.3,0.09,none,True
CC-5348,fraud,out_of_region_use,uncertain,0.41,0.41,out_of_region_use,True
CC-4768,fraud,card_not_present_fraud,uncertain,0.51,0.51,card_not_present_new_device,True
CC-5426,fraud,account_takeover,legitimate,0.27,0.08,none,True
CC-4741,fraud,card_not_present_new_device,fraud,0.82,0.9,undocumented,True
CC-3491,fraud,card_not_present_new_device,uncertain,0.46,0.46,card_not_present_new_device,True
CC-3937,fraud,card_not_present_new_device,legitimate,0.13,0.13,none,False
CC-4897,fraud,card_not_present_fraud,legitimate,0.18,0.05,none,True
CC-4167,fraud,card_not_present_fraud,legitimate,0.24,0.07,none,True
CC-4926,fraud,card_not_present_fraud,uncertain,0.42,0.42,card_not_present_new_device,True
CC-3861,fraud,card_not_present_new_device,legitimate,0.12,0.04,none,True
CC-4298,fraud,account_takeover,uncertain,0.64,0.64,out_of_region_use,True
CC-4449,fraud,out_of_region_use,fraud,0.93,0.98,out_of_region_use,True
CC-4983,fraud,card_not_present_fraud,legitimate,0.24,0.07,none,True
CC-4063,fraud,account_takeover,legitimate,0.01,0.01,none,False
CC-5385,fraud,card_not_present_fraud,fraud,0.89,0.89,card_not_present_fraud,False
CC-3943,fraud,out_of_region_use,fraud,0.88,0.96,out_of_region_use,True
CC-4928,fraud,out_of_region_use,uncertain,0.38,0.38,out_of_region_use,True
CC-4815,fraud,card_not_present_fraud,fraud,0.9,0.9,card_not_present_new_device,False
CC-4052,fraud,out_of_region_use,legitimate,0.18,0.05,none,True
CC-5287,fraud,out_of_region_use,uncertain,0.46,0.46,out_of_region_use,True
CC-5223,fraud,account_takeover,legitimate,0.24,0.07,none,True
CC-5090,fraud,out_of_region_use,fraud,0.79,0.94,out_of_region_use,True
CC-3742,fraud,out_of_region_use,legitimate,0.11,0.11,none,False
CC-3755,fraud,account_takeover,uncertain,0.51,0.51,out_of_region_use,True
CC-3802,fraud,card_not_present_new_device,legitimate,0.14,0.14,none,False
CC-4233,fraud,account_takeover,uncertain,0.37,0.37,out_of_region_use,True
CC-4262,fraud,out_of_region_use,uncertain,0.4,0.4,out_of_region_use,True
CC-4686,fraud,out_of_region_use,uncertain,0.38,0.38,out_of_region_use,True
CC-4433,fraud,out_of_region_use,uncertain,0.62,0.62,out_of_region_use,True
CC-4295,fraud,card_not_present_new_device,uncertain,0.4,0.4,card_not_present_new_device,True
CC-5486,fraud,out_of_region_use,fraud,0.89,0.97,out_of_region_use,True
CC-5337,fraud,card_not_present_fraud,legitimate,0.15,0.04,none,True
CC-5190,fraud,out_of_region_use,legitimate,0.3,0.09,none,True
CC-4274,fraud,card_not_present_new_device,legitimate,0.29,0.09,none,True
CC-4887,fraud,out_of_region_use,fraud,0.83,0.95,out_of_region_use,True
CC-4766,fraud,card_not_present_new_device,legitimate,0.29,0.09,none,True
CC-3946,fraud,account_takeover,fraud,0.9,0.97,account_takeover,True
CC-3796,fraud,card_not_present_new_device,legitimate,0.31,0.09,none,True
CC-4209,fraud,out_of_region_use,legitimate,0.21,0.06,none,True
CC-4002,fraud,card_not_present_fraud,fraud,0.96,0.96,card_not_present_new_device,False
CC-4949,fraud,account_takeover,legitimate,0.33,0.1,none,True
CC-4752,fraud,account_takeover,legitimate,0.24,0.07,none,True
CC-4624,fraud,card_not_present_fraud,uncertain,0.45,0.45,card_not_present_new_device,True
CC-4779,fraud,out_of_region_use,legitimate,0.25,0.07,none,True
CC-3881,fraud,account_takeover,fraud,0.92,0.98,account_takeover,True
CC-3981,fraud,out_of_region_use,fraud,0.83,0.95,out_of_region_use,True
CC-4084,fraud,card_not_present_fraud,uncertain,0.48,0.48,card_not_present_new_device,True
CC-5443,fraud,out_of_region_use,fraud,0.86,0.96,out_of_region_use,True
CC-4867,fraud,out_of_region_use,fraud,0.87,0.96,out_of_region_use,True
CC-4771,fraud,card_not_present_fraud,legitimate,0.33,0.1,none,True
CC-3655,fraud,account_takeover,legitimate,0.12,0.04,none,True
CC-4954,fraud,account_takeover,uncertain,0.43,0.43,out_of_region_use,True
CC-5152,fraud,out_of_region_use,legitimate,0.31,0.09,none,True
CC-4096,fraud,card_not_present_fraud,legitimate,0.2,0.06,none,True
CC-3848,fraud,card_not_present_fraud,fraud,0.82,0.9,card_not_present_new_device,True
CC-4515,fraud,card_not_present_new_device,uncertain,0.37,0.37,card_not_present_new_device,True
CC-4502,fraud,out_of_region_use,legitimate,0.32,0.1,none,True
CC-5403,fraud,card_not_present_fraud,legitimate,0.33,0.1,none,True
CC-4900,fraud,card_not_present_fraud,legitimate,0.35,0.1,none,True
CC-3611,fraud,card_not_present_fraud,fraud,0.77,0.9,card_not_present_new_device,True
CC-4239,fraud,out_of_region_use,fraud,0.87,0.96,out_of_region_use,True
CC-5409,fraud,card_not_present_new_device,legitimate,0.11,0.11,none,False
CC-3650,fraud,account_takeover,uncertain,0.49,0.49,out_of_region_use,True
CC-3974,fraud,account_takeover,fraud,0.93,0.98,account_takeover,True
CC-5013,fraud,account_takeover,fraud,0.91,0.97,account_takeover,True
CC-4690,fraud,account_takeover,fraud,0.66,0.9,out_of_region_use,True
CC-4435,fraud,card_not_present_fraud,legitimate,0.35,0.1,none,True
CC-5153,fraud,out_of_region_use,legitimate,0.15,0.04,none,True
CC-4483,fraud,card_not_present_fraud,legitimate,0.21,0.06,none,True
CC-5377,fraud,card_not_present_new_device,legitimate,0.12,0.04,none,True
CC-4184,fraud,account_takeover,legitimate,0.28,0.08,none,True
CC-3860,fraud,card_not_present_fraud,uncertain,0.53,0.53,card_not_present_new_device,True
CC-4092,fraud,card_not_present_new_device,fraud,0.54,0.9,card_not_present_new_device,True
CC-4984,fraud,card_not_present_fraud,uncertain,0.45,0.45,card_not_present_new_device,True
CC-5243,fraud,account_takeover,fraud,0.91,0.97,account_takeover,True
CC-4682,fraud,account_takeover,fraud,0.92,0.98,account_takeover,True
CC-3695,fraud,card_not_present_new_device,legitimate,0.33,0.1,none,True
CC-4865,fraud,card_not_present_new_device,legitimate,0.09,0.03,none,True
CC-3682,fraud,out_of_region_use,legitimate,0.22,0.07,none,True
CC-4244,fraud,account_takeover,uncertain,0.37,0.37,out_of_region_use,True
CC-3895,fraud,account_takeover,uncertain,0.47,0.47,card_not_present_new_device,True
CC-3978,fraud,card_not_present_fraud,fraud,0.86,0.9,card_not_present_new_device,True
CC-4138,fraud,account_takeover,uncertain,0.61,0.61,out_of_region_use,True
CC-4672,fraud,out_of_region_use,legitimate,0.12,0.04,none,True
CC-5229,fraud,card_not_present_fraud,uncertain,0.39,0.39,card_not_present_new_device,True
CC-3594,fraud,card_not_present_fraud,uncertain,0.41,0.41,card_not_present_new_device,True
CC-4240,fraud,out_of_region_use,legitimate,0.26,0.08,none,True
CC-4288,fraud,account_takeover,fraud,0.83,0.95,account_takeover,True
CC-3872,fraud,out_of_region_use,fraud,0.81,0.94,out_of_region_use,True
CC-4797,fraud,account_takeover,fraud,0.89,0.97,account_takeover,True
CC-4630,fraud,out_of_region_use,uncertain,0.5,0.5,out_of_region_use,True
CC-3494,fraud,out_of_region_use,fraud,0.91,0.97,account_takeover,True
CC-3600,fraud,card_not_present_fraud,legitimate,0.31,0.09,none,True
CC-3898,fraud,card_not_present_fraud,legitimate,0.34,0.1,none,True
CC-5381,fraud,card_not_present_fraud,legitimate,0.3,0.09,none,True
CC-4962,fraud,account_takeover,fraud,0.91,0.97,account_takeover,True
CC-4279,fraud,account_takeover,fraud,0.93,0.93,account_takeover,False
CC-4666,fraud,card_not_present_new_device,legitimate,0.13,0.04,none,True
CC-5145,fraud,out_of_region_use,fraud,0.9,0.97,out_of_region_use,True
CC-3608,fraud,card_not_present_fraud,fraud,0.79,0.9,card_not_present_new_device,True
CC-5402,fraud,out_of_region_use,legitimate,0.32,0.1,none,True
CC-5283,fraud,account_takeover,fraud,0.87,0.96,account_takeover,True
CC-4082,fraud,card_not_present_new_device,uncertain,0.48,0.48,card_not_present_new_device,True
CC-3712,fraud,card_not_present_new_device,uncertain,0.45,0.45,card_not_present_new_device,True
CC-5038,fraud,card_not_present_fraud,legitimate,0.33,0.1,none,True
CC-4754,fraud,out_of_region_use,legitimate,0.24,0.07,none,True
CC-4145,fraud,card_not_present_fraud,fraud,0.89,0.9,card_not_present_new_device,True
CC-3555,fraud,card_not_present_new_device,fraud,0.75,0.93,card_not_present_new_device,True
CC-4450,fraud,card_not_present_new_device,uncertain,0.39,0.39,card_not_present_new_device,True
CC-4521,fraud,account_takeover,legitimate,0.07,0.07,none,False
CC-3957,fraud,card_not_present_fraud,fraud,0.81,0.9,card_not_present_new_device,True
CC-4405,legitimate,none,legitimate,0.08,0.08,none,False
CC-4743,legitimate,none,uncertain,0.43,0.43,card_not_present_new_device,True
CC-3670,legitimate,none,uncertain,0.47,0.47,out_of_region_use,True
CC-3591,legitimate,none,uncertain,0.51,0.51,card_not_present_new_device,True
CC-5459,legitimate,none,legitimate,0.08,0.08,none,False
CC-3515,legitimate,none,legitimate,0.22,0.07,none,True
CC-4753,legitimate,none,legitimate,0.21,0.06,none,True
CC-4475,legitimate,none,uncertain,0.38,0.38,account_takeover,True
CC-4235,legitimate,none,legitimate,0.2,0.06,none,True
CC-4208,legitimate,none,uncertain,0.46,0.46,out_of_region_use,True
CC-4596,legitimate,none,uncertain,0.44,0.44,out_of_region_use,True
CC-4492,legitimate,none,legitimate,0.07,0.07,none,False
CC-4968,legitimate,none,legitimate,0.22,0.07,none,True
CC-4230,legitimate,none,legitimate,0.08,0.08,none,False
CC-5371,legitimate,none,uncertain,0.47,0.47,out_of_region_use,True
CC-5095,legitimate,none,legitimate,0.21,0.06,none,True
CC-3709,legitimate,none,uncertain,0.39,0.39,account_takeover,True
CC-4538,legitimate,none,uncertain,0.46,0.46,out_of_region_use,True
CC-5077,legitimate,none,uncertain,0.47,0.47,out_of_region_use,True
CC-4015,legitimate,none,legitimate,0.21,0.06,none,True
CC-5262,legitimate,none,legitimate,0.2,0.06,none,True
CC-4971,legitimate,none,legitimate,0.14,0.14,none,False
CC-5001,legitimate,none,legitimate,0.07,0.07,none,False
CC-4324,legitimate,none,uncertain,0.4,0.4,card_not_present_new_device,True
CC-5331,legitimate,none,uncertain,0.53,0.53,card_not_present_new_device,True
CC-5224,legitimate,none,legitimate,0.2,0.06,none,True
CC-4566,legitimate,none,legitimate,0.2,0.06,none,True
CC-5463,legitimate,none,legitimate,0.22,0.07,none,True
CC-4637,legitimate,none,legitimate,0.21,0.06,none,True
CC-5259,legitimate,none,uncertain,0.47,0.47,out_of_region_use,True
CC-4173,legitimate,none,uncertain,0.46,0.46,out_of_region_use,True
CC-4591,legitimate,none,uncertain,0.47,0.47,out_of_region_use,True
CC-5137,legitimate,none,legitimate,0.16,0.05,none,True
CC-4395,legitimate,none,legitimate,0.2,0.06,none,True
CC-4813,legitimate,none,legitimate,0.2,0.06,none,True
CC-4397,legitimate,none,legitimate,0.2,0.06,none,True
CC-4819,legitimate,none,uncertain,0.54,0.54,card_not_present_new_device,True
CC-5299,legitimate,none,legitimate,0.21,0.06,none,True
CC-4375,legitimate,none,legitimate,0.2,0.06,none,True
CC-4708,legitimate,none,legitimate,0.05,0.05,none,False
CC-4882,legitimate,none,legitimate,0.08,0.08,none,False
CC-4844,legitimate,none,legitimate,0.3,0.09,none,True
CC-4199,legitimate,none,legitimate,0.04,0.04,none,False
CC-4778,legitimate,none,uncertain,0.58,0.58,out_of_region_use,True
CC-3761,legitimate,none,uncertain,0.46,0.46,out_of_region_use,True
CC-3966,legitimate,none,uncertain,0.46,0.46,out_of_region_use,True
CC-4013,legitimate,none,uncertain,0.39,0.39,account_takeover,True
CC-5411,legitimate,none,legitimate,0.22,0.07,none,True
CC-3804,legitimate,none,uncertain,0.46,0.46,out_of_region_use,True
CC-5078,legitimate,none,legitimate,0.13,0.13,none,False
CC-3837,legitimate,none,legitimate,0.08,0.08,none,False
CC-3612,legitimate,none,legitimate,0.2,0.06,none,True
CC-4730,legitimate,none,uncertain,0.54,0.54,card_not_present_new_device,True
CC-4349,legitimate,none,uncertain,0.48,0.48,out_of_region_use,True
CC-4898,legitimate,none,fraud,0.68,0.9,out_of_region_use,True
CC-3790,legitimate,none,legitimate,0.21,0.06,none,True
CC-3635,legitimate,none,legitimate,0.22,0.07,none,True
CC-4974,legitimate,none,legitimate,0.2,0.06,none,True
CC-4931,legitimate,none,uncertain,0.39,0.39,account_takeover,True
CC-4505,legitimate,none,legitimate,0.17,0.05,none,True
CC-4437,legitimate,none,uncertain,0.46,0.46,out_of_region_use,True
CC-4180,legitimate,none,legitimate,0.21,0.06,none,True
CC-4685,legitimate,none,legitimate,0.2,0.06,none,True
CC-5035,legitimate,none,legitimate,0.2,0.06,none,True
CC-3901,legitimate,none,uncertain,0.37,0.37,account_takeover,True
CC-5413,legitimate,none,legitimate,0.05,0.05,none,False
CC-5296,legitimate,none,legitimate,0.2,0.06,none,True
CC-4088,legitimate,none,uncertain,0.56,0.56,card_not_present_new_device,True
CC-5308,legitimate,none,legitimate,0.08,0.08,none,False
CC-4973,legitimate,none,legitimate,0.12,0.12,none,False
CC-4383,legitimate,none,legitimate,0.21,0.06,none,True
CC-4697,legitimate,none,legitimate,0.2,0.06,none,True
CC-4488,legitimate,none,uncertain,0.53,0.53,card_not_present_new_device,True
CC-3917,legitimate,none,uncertain,0.54,0.54,card_not_present_new_device,True
CC-4899,legitimate,none,legitimate,0.2,0.06,none,True
CC-4570,legitimate,none,uncertain,0.41,0.41,account_takeover,True
CC-4529,legitimate,none,legitimate,0.17,0.05,none,True
CC-4027,legitimate,none,uncertain,0.44,0.44,out_of_region_use,True
CC-3540,legitimate,none,legitimate,0.2,0.06,none,True
CC-3629,legitimate,none,uncertain,0.5,0.5,card_not_present_new_device,True
CC-5132,legitimate,none,fraud,0.68,0.9,out_of_region_use,True
CC-5203,legitimate,none,legitimate,0.05,0.05,none,False
CC-5492,legitimate,none,legitimate,0.22,0.07,none,True
CC-5458,legitimate,none,legitimate,0.21,0.06,none,True
CC-4206,legitimate,none,uncertain,0.47,0.47,out_of_region_use,True
CC-4217,legitimate,none,uncertain,0.39,0.39,account_takeover,True
CC-3751,legitimate,none,uncertain,0.4,0.4,account_takeover,True
CC-5018,legitimate,none,legitimate,0.07,0.07,none,False
CC-3972,legitimate,none,legitimate,0.2,0.06,none,True
CC-4095,legitimate,none,legitimate,0.2,0.06,none,True
CC-5289,legitimate,none,uncertain,0.38,0.38,account_takeover,True
CC-4381,legitimate,none,uncertain,0.44,0.44,out_of_region_use,True
CC-3547,legitimate,none,uncertain,0.44,0.44,out_of_region_use,True
CC-4442,legitimate,none,legitimate,0.22,0.07,none,True
CC-5236,legitimate,none,legitimate,0.2,0.06,none,True
CC-5043,legitimate,none,legitimate,0.2,0.06,none,True
CC-4259,legitimate,none,legitimate,0.05,0.05,none,False
CC-5193,legitimate,none,legitimate,0.21,0.06,none,True
CC-4643,legitimate,none,legitimate,0.2,0.06,none,True
CC-3570,legitimate,none,legitimate,0.2,0.06,none,True
CC-4589,legitimate,none,uncertain,0.53,0.53,card_not_present_new_device,True
CC-4352,legitimate,none,legitimate,0.21,0.06,none,True
CC-4816,legitimate,none,uncertain,0.48,0.48,out_of_region_use,True
CC-5167,legitimate,none,legitimate,0.08,0.08,none,False
CC-3793,legitimate,none,legitimate,0.1,0.1,none,False
CC-3520,legitimate,none,uncertain,0.4,0.4,card_not_present_new_device,True
CC-3931,legitimate,none,uncertain,0.41,0.41,account_takeover,True
CC-4046,legitimate,none,uncertain,0.47,0.47,out_of_region_use,True
CC-4346,legitimate,none,legitimate,0.08,0.08,none,False
CC-5164,legitimate,none,uncertain,0.42,0.42,card_not_present_new_device,True
CC-4691,legitimate,none,uncertain,0.53,0.53,card_not_present_new_device,True
CC-4118,legitimate,none,uncertain,0.47,0.47,out_of_region_use,True
CC-4440,legitimate,none,legitimate,0.12,0.12,none,False
CC-5162,legitimate,none,legitimate,0.21,0.06,none,True
CC-4000,legitimate,none,uncertain,0.38,0.38,account_takeover,True
CC-5134,legitimate,none,legitimate,0.22,0.07,none,True
CC-4021,legitimate,none,legitimate,0.2,0.06,none,True
CC-5227,legitimate,none,legitimate,0.2,0.06,none,True
CC-4197,legitimate,none,uncertain,0.45,0.45,out_of_region_use,True
CC-3620,legitimate,none,legitimate,0.14,0.14,none,False
CC-4112,legitimate,none,legitimate,0.35,0.1,none,True
CC-3640,legitimate,none,uncertain,0.46,0.46,out_of_region_use,True
CC-3616,legitimate,none,legitimate,0.22,0.07,none,True
CC-5368,legitimate,none,legitimate,0.07,0.07,none,False
CC-4916,legitimate,none,legitimate,0.14,0.14,none,False
CC-4339,legitimate,none,legitimate,0.23,0.07,none,True
CC-3579,legitimate,none,uncertain,0.45,0.45,out_of_region_use,True
CC-4590,legitimate,none,uncertain,0.53,0.53,card_not_present_new_device,True
CC-4592,legitimate,none,uncertain,0.45,0.45,out_of_region_use,True
CC-5129,legitimate,none,legitimate,0.21,0.06,none,True
CC-3602,legitimate,none,legitimate,0.2,0.06,none,True
CC-3625,legitimate,none,legitimate,0.2,0.06,none,True
CC-4017,legitimate,none,uncertain,0.47,0.47,out_of_region_use,True
CC-5014,legitimate,none,uncertain,0.52,0.52,card_not_present_new_device,True
CC-4735,legitimate,none,fraud,0.65,0.9,card_not_present_new_device,True
CC-3645,legitimate,none,uncertain,0.54,0.54,card_not_present_new_device,True
CC-5142,legitimate,none,uncertain,0.4,0.4,card_not_present_new_device,True
CC-4885,legitimate,none,uncertain,0.46,0.46,out_of_region_use,True
CC-5292,legitimate,none,legitimate,0.2,0.06,none,True
CC-4322,legitimate,none,uncertain,0.44,0.44,out_of_region_use,True
CC-3794,legitimate,none,legitimate,0.2,0.06,none,True
CC-5011,legitimate,none,legitimate,0.15,0.15,none,False
CC-3862,legitimate,none,uncertain,0.46,0.46,out_of_region_use,True
CC-5008,legitimate,none,uncertain,0.44,0.44,out_of_region_use,True
CC-5175,legitimate,none,uncertain,0.38,0.38,card_not_present_new_device,True
CC-5249,legitimate,none,legitimate,0.2,0.06,none,True
CC-4783,legitimate,none,uncertain,0.46,0.46,out_of_region_use,True
CC-5468,legitimate,none,uncertain,0.56,0.56,out_of_region_use,True
CC-4553,legitimate,none,legitimate,0.21,0.06,none,True
CC-5114,legitimate,none,uncertain,0.45,0.45,out_of_region_use,True
CC-5290,legitimate,none,uncertain,0.52,0.52,card_not_present_new_device,True
CC-4205,legitimate,none,uncertain,0.54,0.54,card_not_present_new_device,True
CC-3888,legitimate,none,uncertain,0.39,0.39,account_takeover,True
CC-3590,legitimate,none,legitimate,0.2,0.06,none,True
CC-5401,legitimate,none,uncertain,0.47,0.47,out_of_region_use,True
CC-4282,legitimate,none,legitimate,0.07,0.07,none,False
CC-5448,legitimate,none,uncertain,0.53,0.53,card_not_present_new_device,True
CC-4473,legitimate,none,uncertain,0.52,0.52,card_not_present_new_device,True
CC-4734,legitimate,none,uncertain,0.46,0.46,out_of_region_use,True
CC-5006,legitimate,none,legitimate,0.2,0.06,none,True
CC-3506,legitimate,none,legitimate,0.3,0.09,none,True
CC-4389,legitimate,none,legitimate,0.2,0.06,none,True
CC-5376,legitimate,none,uncertain,0.51,0.51,card_not_present_new_device,True
CC-4430,legitimate,none,legitimate,0.2,0.06,none,True
CC-4965,legitimate,none,uncertain,0.47,0.47,out_of_region_use,True
CC-3521,legitimate,none,legitimate,0.05,0.05,none,False
CC-3927,legitimate,none,legitimate,0.22,0.07,none,True
CC-5232,legitimate,none,legitimate,0.28,0.08,none,True
CC-3873,legitimate,none,legitimate,0.28,0.08,none,True
CC-4681,legitimate,none,uncertain,0.52,0.52,card_not_present_new_device,True
CC-5062,legitimate,none,legitimate,0.2,0.06,none,True
CC-4158,legitimate,none,uncertain,0.45,0.45,out_of_region_use,True
CC-4249,legitimate,none,legitimate,0.13,0.13,none,False
CC-4004,legitimate,none,legitimate,0.05,0.05,none,False
CC-3639,legitimate,none,uncertain,0.43,0.43,out_of_region_use,True
CC-3544,legitimate,none,legitimate,0.08,0.08,none,False
CC-4148,legitimate,none,uncertain,0.39,0.39,account_takeover,True
CC-4329,legitimate,none,legitimate,0.27,0.08,none,True
CC-3498,legitimate,none,legitimate,0.2,0.06,none,True
CC-5234,legitimate,none,legitimate,0.26,0.08,none,True
CC-4932,legitimate,none,legitimate,0.29,0.09,none,True
CC-4834,legitimate,none,legitimate,0.08,0.08,none,False
CC-5254,legitimate,none,legitimate,0.05,0.05,none,False
CC-4237,legitimate,none,uncertain,0.39,0.39,account_takeover,True
CC-5200,legitimate,none,uncertain,0.45,0.45,out_of_region_use,True
CC-4955,legitimate,none,uncertain,0.39,0.39,account_takeover,True
CC-3991,legitimate,none,legitimate,0.2,0.06,none,True
